State;Education;Certification;Partitipation;Subdiscipline;Sector;Salary
Massachusetts;Bachelors Degree;None;Full Time;Transportation;Private;76000
Florida;Bachelors Degree;EIT;Full Time;Transportation;Private;70000
Maryland;Technical Certificate;None;Full Time;Land Development;Private;105000
California;Bachelors Degree;EIT;Full Time;Pavement ;Public;90000
Connecticut;Bachelors Degree;PE;Full Time;Land Development;Private;88000
New Mexico;Bachelors Degree;EIT;Full Time;Water Resources;Private;73000
California;Bachelors Degree;EIT;Full Time;Construction/Field;Private;110000
California;Masters Degree;PE;Full Time;Structural;Private;140000
Iowa;Bachelors Degree;EIT;Full Time;Utlilites;Private;680000
Connecticut;Bachelors Degree;PE;Full Time;Power/Electrical;Private;131
Washington;Bachelors Degree;PE;Full Time;Power/Electrical;Private;11500
Arizona;Bachelors Degree;PE;Full Time;Land Development;Private;160000
California;Masters Degree;EIT;Full Time;Bridge/Building;Private;82500
Indiana;Bachelors Degree;PE;Full Time;Transportation;Private;91000
California;Bachelors Degree;PE;Full Time;Water Resources;Private;90000
California;Bachelors Degree;PE;Full Time;Water Resources;Private;120000
California;Bachelors Degree;PE;Full Time;Land Development;Private;120000
Vermont;Bachelors Degree;PE;Full Time;Land Development;Public;70000
Pennsylvania;Bachelors Degree;PE;Full Time;Transportation;Private;71000
Florida;Bachelors Degree;None;Full Time;Land Development;Private;65000
New York;Bachelors Degree;EIT;Full Time;Transportation;Private;70000
Tennessee;Bachelors Degree;PE;Full Time;Government/Municipal;Public;89000
Texas;Bachelors Degree;PE;Full Time;Land Development;Private;95000
Washington;Bachelors Degree;PE;Full Time;Water Resources;Private;164000
California;Bachelors Degree;EIT;Full Time;Transportation;Private;78000
New Jersey;Masters Degree;PE;Full Time;Government/Municipal;Public;140000
Illinois;Bachelors Degree;PE;Full Time;Structural;Private;98.5
Virginia;Masters Degree;PE;Full Time;Bridges;Public;153000
New York;Bachelors Degree;None;Full Time;Construction/Field;Public;84000
Vermont;Masters Degree;EIT;Full Time;Bridges;Private;78624
Ohio;Bachelors Degree;PE;Full Time;Government/Municipal;Public;116000
California;Masters Degree;PE;Full Time;Environmental;Private;125000
Texas;Bachelors Degree;EIT;Full Time;Water Resources;Private;85000
Georgia;Bachelors Degree;EIT;Full Time;Land Development;Private;70900
Washington;Masters Degree;PE;Full Time;Structural;Private;95000
Iowa;Masters Degree;PE;Full Time;Structural;Private;100000
New York;Bachelors Degree;EIT;Full Time;Transportation;Private;73000
Massachusetts;Bachelors Degree;EIT;Full Time;Environmental;Private;80750
Utah;Masters Degree;PE;Full Time;Government/Municipal;Public;98000
New Mexico;Bachelors Degree;PE;Full Time;Transportation;Private;93000
California;Bachelors Degree;EIT;Full Time;Environmental;Public;120000
Louisiana;Bachelors Degree;EIT;Full Time;Power/Electrical;Private;70000
California;Bachelors Degree;PE;Full Time;Transportation;Public;140000
Texas;Bachelors Degree;EIT;Full Time;Water/wastewater;Private;73520
Texas;Bachelors Degree;PE;Full Time;Transportation;Private;120000
Nevada;Bachelors Degree;PE;Full Time;Land Development;Private;108000
Minnesota;Bachelors Degree;PE;Full Time;Forensic;Private;0
Texas;Bachelors Degree;PE;Full Time;Transportation;Public;78450
New Jersey;Bachelors Degree;EIT;Full Time;Construction/Field;Private;91000
California;Bachelors Degree;EIT;Full Time;Government/Municipal;Public;149000
Maryland;Bachelors Degree;EIT;Full Time;Transportation;Private;95000
Indiana;Bachelors Degree;EIT;Full Time;Transportation;Public;70000
Minnesota;Bachelors Degree;EIT;Full Time;Construction/Field;Private;67600
Georgia;Bachelors Degree;PE;Full Time;Bridges;Private;100000
California;Bachelors Degree;EIT;Full Time;Transportation;Public;98000
Illinois;Bachelors Degree;PE;Full Time;Government/Municipal;Public;88000
Virginia;Masters Degree;PE;Full Time;Government/Municipal;Private;145000
Washington;Bachelors Degree;PE;Full Time;Geotechnical;Private;88000
Michigan;Masters Degree;None;Full Time;Geotechnical;Private;77000
Washington;Bachelors Degree;None;Full Time;Government/Municipal;Public;104800
California;Bachelors Degree;EIT;Full Time;Construction/Field;Private;132000
Georgia;Bachelors Degree;EIT;Full Time;Transportation;Private;85000
Illinois;Bachelors Degree;EIT;Full Time;Transportation;Private;70000
Oregon;Bachelors Degree;PE;Full Time;Construction/Field;Private;95000
California;Bachelors Degree;PE;Full Time;Structural;Private;108000
California;Bachelors Degree;EIT;Full Time;Construction/Field;Private;110000
